Tank,START_DATETIME,PRESSURE_DATUM,DATE,oil_prod_cum,water_prod_cum,gas_prod_cum,oil_fvf,gas_fvf,gas_oil_rs_col
tank_north,1982-08-01,3626.396792897401,1982-08-01,33119.137931034486,7283.141379310345,33119.137931034486,1.1264585905075255,0.041712745,89.0
tank_north,1983-08-01,3565.483251317921,1983-08-01,33874.31034482759,7473.193103448276,33874.31034482759,1.1253516364707976,0.041712745,89.0
tank_north,1984-08-01,3504.5697097384405,1984-08-01,58087.09817518248,28313.798613138686,58087.09817518248,1.1369015997006098,0.041712745,89.0
tank_south,1985-01-01,1555.990178,1985-01-01,709316.07,95606.64,709316.07,1.1316702288202058,0.041712745,89.0
tank_north,1985-08-01,3443.6561681589606,1985-08-01,64854.85091240876,40896.72069343065,64854.85091240876,1.124359721002726,0.041712745,89.0
tank_south,1986-01-01,1521.047282,1986-01-01,872602.07,113858.64,872602.07,1.1397424429835326,0.041712745,89.0
tank_north,1986-08-01,3382.74262657948,1986-08-01,92479.43853766618,80180.33992614476,92479.43853766618,1.125197720376119,0.041712745,89.0
tank_south,1987-01-01,1486.104386,1987-01-01,1054380.07,136539.64,1054380.07,1.1378865523250712,0.041712745,89.0
tank_north,1987-08-01,3321.829085,1987-08-01,95172.05485967505,80692.39125553914,95172.05485967505,1.1373041798227006,0.041712745,89.0
tank_south,1988-01-01,1451.16149,1988-01-01,1192348.07,152351.64,1192348.07,1.1331320397387747,0.041712745,89.0
tank_north,1988-08-01,3416.1156549999996,1988-08-01,97872.04821270311,81205.84546528803,97872.04821270311,1.1297687424534135,0.041712745,89.0
tank_center,1988-09-01,3675.67101,1988-09-01,344829.8333,531833.9033,344829.8333,1.1202081326763431,0.041712745,89.0
tank_south,1989-01-01,1416.218594,1989-01-01,1358200.07,174799.64,1358200.07,1.1407674115859183,0.041712745,89.0
tank_north,1989-08-01,3510.402225,1989-08-01,100564.66453471198,81717.89679468243,100564.66453471198,1.1250438042814404,0.041712745,89.0
tank_center,1989-09-01,3499.68952,1989-09-01,422822.8333,770626.9033,422822.8333,1.1207226303773985,0.041712745,89.0
tank_south,1990-01-01,1381.2756980000001,1990-01-01,1472805.07,189390.64,1472805.07,1.1382081647978455,0.041712745,89.0
tank_north,1990-08-01,3280.574107,1990-08-01,103257.28085672084,82229.94812407681,103257.28085672084,1.1376955373355753,0.041712745,89.0
tank_center,1990-09-01,3323.7080300000002,1990-09-01,555476.8333,1000111.9033,555476.8333,1.1211850958685832,0.041712745,89.0
tank_south,1991-01-01,1346.3328020000001,1991-01-01,1595590.07,200804.64,1595590.07,1.1347367519935905,0.041712745,89.0
tank_north,1991-08-01,3050.745989,1991-08-01,105949.8971787297,82741.9994534712,105949.8971787297,1.1332522121799475,0.041712745,89.0
tank_center,1991-09-01,3147.72654,1991-09-01,689366.8333,1236022.9033,689366.8333,1.133013597746383,0.041712745,89.0
tank_south,1992-01-01,1311.389906,1992-01-01,1685732.07,211931.64,1685732.07,1.1404965034048822,0.041712745,86.69864081842307
tank_north,1992-08-01,2820.917871,1992-08-01,108649.89053175776,83255.45366322009,108649.89053175776,1.1248898881867617,0.041712745,89.0
tank_center,1992-09-01,2971.74505,1992-09-01,786308.8333,1346118.9033,786308.8333,1.1213867233460237,0.041712745,89.0
tank_south,1993-01-01,1276.44701,1993-01-01,1795984.98,227041.05,1795984.98,1.1384926351951077,0.041712745,89.0
tank_north,1993-08-01,2591.089753,1993-08-01,186003.82,85152.44,186003.82,1.138056137177555,0.041712745,89.0
tank_center,1993-09-01,2795.7635600000003,1993-09-01,942137.8333,1379270.9033,942137.8333,1.1332816170268254,0.041712745,89.0
tank_south,1994-01-01,1241.504114,1994-01-01,1884934.98,246640.05,1884934.98,1.1363638867660448,0.041712745,89.0
tank_north,1994-08-01,1867.3221830000002,1994-08-01,443507.82,89172.44,443507.82,1.1317344237238538,0.041712745,89.0
tank_center,1994-09-01,2619.78207,1994-09-01,1078307.8333,1436942.9033,1078307.8333,1.1215883508234643,0.041712745,89.0
tank_south,1995-01-01,2586.32978,1995-01-01,1945471.8576549506,265252.05293498735,1945471.8576549506,1.138591261155275,0.041712745,89.0
tank_north,1995-08-01,1143.5546130000002,1995-08-01,670426.82,94234.44,670426.82,1.1261071444739243,0.041712745,89.0
tank_center,1995-09-01,2443.80058,1995-09-01,1208351.8550391304,1514446.3380826085,1208351.8550391304,1.1335744419729707,0.041712745,89.0
tank_south,1996-01-01,2610.75885875,1996-01-01,1945832.404872961,265327.4450140133,1945832.404872961,1.1350900174773342,0.041712745,89.0
tank_north,1996-08-01,1096.4012294909094,1996-08-01,899164.82,102579.44,899164.82,1.1384049024629226,0.041712745,89.0
tank_center,1996-09-01,2768.192564,1996-09-01,1317749.8333,1565466.9033,1317749.8333,1.1217899783009049,0.041712745,89.0
tank_south,1997-01-01,2635.1879375,1997-01-01,1946193.939891569,265403.0436466804,1946193.939891569,1.1385419530474628,0.041712745,89.0
tank_north,1997-08-01,1049.2478459818185,1997-08-01,1072973.82,123704.44,1072973.82,1.13021663526776,0.041712745,89.0
tank_center,1997-09-01,1979.036762,1997-09-01,1533577.8333,1681394.9033,1533577.8333,1.1338727729577487,0.041712745,89.0
tank_south,1998-01-01,2659.6170162500002,1998-01-01,1946554.4871095796,265478.4357257064,1946554.4871095796,1.1338161481886233,0.041712745,89.0
tank_north,1998-08-01,1002.0944624727275,1998-08-01,1214963.82,166637.44,1214963.82,1.1274558390714133,0.041712745,89.0
tank_center,1998-09-01,1524.880926,1998-09-01,1837152.8333,1831652.9033,1837152.8333,1.1214778840970108,0.041712745,89.0
tank_south,1999-01-01,2684.046095,1999-01-01,1946915.0343275901,265553.82780473237,1946915.0343275901,1.137964720279371,0.041712745,89.0
tank_north,1999-08-01,954.9410789636365,1999-08-01,1321788.82,207673.44,1321788.82,1.1386847709969963,0.041712745,89.0
tank_center,1999-09-01,1722.7619295,1999-09-01,1995338.8333,1899598.9033,1995338.8333,1.1197919448999765,0.041712745,89.0
tank_south,2000-01-01,2493.463138375,2000-01-01,1947275.5815456007,265629.21988375834,1947275.5815456007,1.1326223454181032,0.041712745,89.0
tank_north,2000-08-01,907.7876954545457,2000-08-01,1396833.82,256304.44,1396833.82,1.1287604692250492,0.041712745,89.0
tank_center,2000-09-01,1920.642933,2000-09-01,2095369.8333,1953494.9033,2095369.8333,1.1341711039425268,0.041712745,89.0
tank_south,2001-01-01,2302.8801817500002,2001-01-01,1947637.1165642086,265704.81851642544,1947637.1165642086,1.1373054990252063,0.041712745,89.0
tank_north,2001-08-01,860.6343119454548,2001-08-01,1463323.82,391319.44,1463323.82,1.1288045336689025,0.041712745,89.0
tank_center,2001-09-01,2118.5239364999998,2001-09-01,2296457.8333,2057598.9033,2296457.8333,1.1211657898931164,0.041712745,89.0
tank_south,2002-01-01,2112.2972251250003,2002-01-01,1947997.6637822192,265780.2105954514,1947997.6637822192,1.1314779066988334,0.041712745,89.0
tank_north,2002-08-01,813.4809284363638,2002-08-01,1467024.5144444446,397593.5687878788,1467024.5144444446,1.1389674224276356,0.041712745,89.0
tank_center,2002-09-01,2316.40494,2002-09-01,2639177.8333,2148731.9033,2639177.8333,1.1212012495894288,0.041712745,89.0
tank_south,2003-01-01,1921.7142685000001,2003-01-01,1948358.2110002297,265855.6026744774,1948358.2110002297,1.1366037174459804,0.041712745,89.0
tank_north,2003-08-01,766.3275449272728,2003-08-01,1540674.78,473106.43,1540674.78,1.1273601286852009,0.041712745,89.0
tank_center,2003-09-01,2012.1892616985745,2003-09-01,3373888.4633,2404446.4033,3373888.4633,1.134469434927305,0.041712745,89.0
tank_south,2004-01-01,1731.1313118750002,2004-01-01,1948718.7582182402,265930.99475350336,1948718.7582182402,1.1303334679795638,0.041712745,89.0
tank_north,2004-08-01,719.1741614181819,2004-08-01,1633149.79,562842.12,1633149.79,1.1302084179016372,0.041712745,89.0
tank_center,2004-09-01,977.1166283,2004-09-01,4002856.4633,2643658.4033,4002856.4633,1.1219265347533836,0.041712745,89.0
tank_south,2005-01-01,1540.54835525,2005-01-01,1949080.2932368482,266006.59338617045,1949080.2932368482,1.136704516920952,0.041712745,89.0
tank_north,2005-08-01,672.0207779090911,2005-08-01,1699868.78,610092.8700000001,1699868.78,1.139354932705584,0.041712745,89.0
tank_center,2005-09-01,935.0613789500001,2005-09-01,4428504.2333,2860230.5132999998,4428504.2333,1.1217837588802182,0.041712745,89.0
tank_south,2006-01-01,1349.965398625,2006-01-01,1949440.8404548587,266081.9854651964,1949440.8404548587,1.129212720888962,0.041712745,89.0
tank_north,2006-08-01,624.8673944000001,2006-08-01,1766743.52,640363.3999999999,1766743.52,1.1295144558850057,0.041712745,89.0
tank_center,2006-09-01,893.0061296,2006-09-01,4796279.9832999995,3010660.5933,4796279.9832999995,1.1347677659120832,0.041712745,89.0
tank_south,2007-01-01,1159.382442,2007-01-01,2030193.826,271367.988,2030193.826,1.1371825332638177,0.041712745,89.0
tank_center,2007-09-01,876.3892286,2007-09-01,5062588.9533,3146348.9633,5062588.9533,1.1226872796136507,0.041712745,89.0
tank_south,2008-01-01,1308.5881375000001,2008-01-01,2233826.256,290212.618,2233826.256,1.1308031046741105,0.041712745,89.0
tank_center,2008-09-01,884.6968582,2008-09-01,5346233.5033,3294563.9633,5346233.5033,1.1223662681710076,0.041712745,89.0
tank_south,2009-01-01,1457.793833,2009-01-01,2290785.276,318459.858,2290785.276,1.137654145722564,0.041712745,89.0
tank_center,2009-09-01,966.8950943498313,2009-09-01,5627979.0433,3538906.9833,5627979.0433,1.135066096896861,0.041712745,89.0
tank_south,2010-01-01,1606.9995285,2010-01-01,2340073.926,345140.208,2340073.926,1.1324171800879268,0.041712745,89.0
tank_center,2010-09-01,1049.0933304996627,2010-09-01,5827098.9533,3688720.8333,5827098.9533,1.1240275237296642,0.041712745,89.0
tank_south,2011-01-01,1756.2052239999998,2011-01-01,2393907.856,373420.068,2393907.856,1.138082315441441,0.041712745,89.0
tank_center,2011-09-01,1131.291566649494,2011-09-01,6105877.2633,3847804.1933,6105877.2633,1.1230772328652137,0.041712745,89.0
tank_south,2012-01-01,1905.4109194999999,2012-01-01,2447575.066,424466.138,2447575.066,1.1341105300049164,0.041712745,89.0
tank_center,2012-09-01,1119.4851310108902,2012-09-01,6390995.7533,4010252.6133,6390995.7533,1.1353644278816393,0.041712745,89.0
tank_south,2013-01-01,2054.616615,2013-01-01,2516985.796,453206.268,2516985.796,1.1384776622139783,0.041712745,89.0
tank_center,2013-09-01,1063.4960577757417,2013-09-01,6630952.8333,4126853.7632999998,6630952.8333,1.1254755622223103,0.041712745,89.0
tank_south,2014-01-01,1844.1822416666666,2014-01-01,2590002.026,478075.658,2590002.026,1.135907149661962,0.041712745,89.0
tank_center,2014-09-01,1007.5069845405934,2014-09-01,6778096.2633,4262047.9033,6778096.2633,1.1241860091704403,0.041712745,89.0
tank_south,2015-01-01,1633.7478683333334,2015-01-01,2615201.7811307646,486001.8586392925,2615201.7811307646,1.1388099730405692,0.041712745,89.0
tank_center,2015-09-01,951.5179113054451,2015-09-01,6820854.8133,4387542.1233,6820854.8133,1.1356627588664174,0.041712745,89.0
tank_south,2016-01-01,1423.3134949999999,2016-01-01,2615270.607956412,486012.4814535692,2615270.607956412,1.1376928585664905,0.041712745,89.0
tank_center,2016-09-01,895.5288380702967,2016-09-01,6850459.2233,4459792.8033,6850459.2233,1.130625616510976,0.041712745,89.0
tank_south,2017-01-01,1212.8791216666668,2017-01-01,2615339.623348705,486023.13337144663,2615339.623348705,1.1392133915083758,0.041712745,89.0
tank_center,2017-09-01,839.5397648351484,2017-09-01,6870630.6472084625,4508745.815477893,6870630.6472084625,1.125294785475667,0.041712745,89.0
tank_south,2018-01-01,1002.4447483333333,2018-01-01,2615408.4501743526,486033.75618572335,2615408.4501743526,1.13914386915342,0.041712745,89.0
tank_center,2018-09-01,783.5506915999999,2018-09-01,6870720.877225733,4508792.183085838,6870720.877225733,1.125505552565476,0.041712745,89.0
tank_south,2019-01-01,792.0103750000001,2019-01-01,2615477.2770000002,486044.379,2615477.2770000002,1.1334771667385612,0.041712745,89.0
tank_center,2019-09-01,1497.4980345741628,2019-09-01,6923500.255299999,4584249.5493,6923500.255299999,1.136499019578519,0.041712745,89.0
tank_south,2020-01-01,1000.5011026550268,2020-01-01,2619704.791,493869.767,2619704.791,1.1377077223635779,0.041712745,89.0
